timestamp,Power_reference,REG_LINE_ACP_1,REG_LINE_ACP_2,REG_LINE_ACP_3,REG_LINE_REP_1,REG_LINE_REP_2,REG_LINE_REP_3,REG_LINE_CUR_1,REG_LINE_CUR_2,REG_LINE_CUR_3,REG_PHASE_VOL_1,REG_PHASE_VOL_2,REG_PHASE_VOL_3,REG_FREQUENCY,Plug1_status,Plug2_status,Plug3_status,Plug4_status,Plug5_status,Plug6_status,Plug1_allowed_P,Plug2_allowed_P,Plug3_allowed_P,Plug4_allowed_P,Plug5_allowed_P,Plug6_allowed_P,Plug1_E_charged,Plug2_E_charged,Plug3_E_charged,Plug4_E_charged,Plug5_E_charged,Plug6_E_charged,Plug1_priority_broadcast,Plug2_priority_broadcast,Plug3_priority_broadcast,Plug4_priority_broadcast,Plug5_priority_broadcast,Plug6_priority_broadcast,Plug1_measured_P,Plug2_measured_P,Plug3_measured_P,Plug4_measured_P,Plug5_measured_P,Plug6_measured_P
1695208923734 ,0,0.0,0.0,-0.002,0.0,0.0,0.011,0.0,0.0,0.097,230.336,230.361,231.465,49.94,Idle,Idle,Idle,Idle,Idle,Idle,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3.449,1.936,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1695208924813 ,0,0.0,0.0,-0.002,0.0,0.0,0.011,0.0,0.0,0.096,230.335,230.345,231.416,49.94,Idle,Idle,Idle,Idle,Idle,Idle,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3.449,1.936,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1695208925876 ,0,0.0,0.0,-0.002,0.0,0.0,0.011,0.0,0.0,0.097,230.362,230.328,231.189,49.94,Idle,Idle,Idle,Idle,Idle,Idle,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3.449,1.936,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1695208926935 ,0,0.0,0.0,-0.002,0.0,0.0,0.011,0.0,0.0,0.094,230.502,230.346,231.229,49.94,Idle,Idle,Idle,Idle,Idle,Idle,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3.449,1.936,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1695208928003 ,0,0.0,0.0,-0.002,0.0,0.0,0.01,0.0,0.0,0.093,230.491,230.321,231.177,49.94,Idle,Idle,Idle,Idle,Idle,Idle,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3.449,1.936,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1695208929072 ,0,0.0,0.0,-0.002,0.0,0.0,0.01,0.0,0.0,0.096,230.487,230.332,231.154,49.94,Idle,Idle,Idle,Idle,Idle,Idle,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3.449,1.936,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1695208930146 ,0,0.0,0.0,-0.002,0.0,0.0,0.011,0.0,0.0,0.093,230.483,230.333,231.178,49.94,Idle,Idle,Idle,Idle,Idle,Idle,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3.449,1.936,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1695208931199 ,0,0.0,0.0,-0.003,0.0,0.0,0.01,0.0,0.0,0.097,230.538,230.354,231.231,49.94,Idle,Idle,Idle,Idle,Idle,Idle,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3.449,1.936,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1695208932264 ,0,0.0,0.0,-0.002,0.0,0.0,0.011,0.0,0.0,0.093,230.479,230.361,231.452,49.94,Idle,Idle,Idle,Idle,Idle,Idle,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3.449,1.936,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1695208933329 ,0,0.0,0.0,-0.002,0.0,0.0,0.01,0.0,0.0,0.096,230.449,230.298,231.426,49.94,Idle,Idle,Idle,Idle,Idle,Idle,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3.449,1.936,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
