timestamp,Power_reference,REG_LINE_ACP_1,REG_LINE_ACP_2,REG_LINE_ACP_3,REG_LINE_REP_1,REG_LINE_REP_2,REG_LINE_REP_3,REG_LINE_CUR_1,REG_LINE_CUR_2,REG_LINE_CUR_3,REG_PHASE_VOL_1,REG_PHASE_VOL_2,REG_PHASE_VOL_3,REG_FREQUENCY,Plug1_status,Plug2_status,Plug3_status,Plug4_status,Plug1_allowed_P,Plug2_allowed_P,Plug3_allowed_P,Plug4_allowed_P,Plug1_E_charged,Plug2_E_charged,Plug3_E_charged,Plug4_E_charged,Plug1_priority_broadcast,Plug2_priority_broadcast,Plug3_priority_broadcast,Plug4_priority_broadcast,Plug1_measured_P,Plug2_measured_P,Plug3_measured_P,Plug4_measured_P
1701425782638 ,0,-1.836,-1.845,-1.872,1.288,1.301,1.275,9.944,9.929,9.947,227.49,227.908,228.163,50.01,Charging,Idle,Idle,Idle,9.69,0.0,10.98,10.98,1.35,0,0.0,0.0,0.4381726999082789,0,0,0,6.574999999999999,0.0,0.0,0.0
1701425783696 ,0,-2.263,-2.273,-2.304,1.263,1.275,1.244,11.482,11.478,11.531,227.009,227.46,227.839,50.01,Charging,Idle,Idle,Idle,11.01,0.0,10.98,10.98,1.357,0,0.0,0.0,0.43806841563465704,0,0,0,6.574999999999999,0.0,0.0,0.0
1701425784759 ,0,-2.316,-2.322,-2.354,1.241,1.252,1.221,11.664,11.728,11.713,226.818,227.271,227.601,50.01,Charging,Idle,Idle,Idle,11.01,0.0,10.98,10.98,1.357,0,0.0,0.0,0.43806841563465704,0,0,0,6.574999999999999,0.0,0.0,0.0
1701425785820 ,0,-2.331,-2.338,-2.371,1.239,1.25,1.219,11.672,11.725,11.771,226.843,227.27,227.639,50.01,Charging,Idle,Idle,Idle,11.01,0.0,10.98,10.98,1.357,0,0.0,0.0,0.43806841563465704,0,0,0,6.574999999999999,0.0,0.0,0.0
1701425786876 ,0,-2.537,-2.55,-2.579,1.235,1.247,1.218,12.683,12.702,12.722,226.807,227.31,227.579,50.01,Charging,Idle,Idle,Idle,11.01,0.0,10.98,10.98,1.357,0,0.0,0.0,0.43806841563465704,0,0,0,6.057,0.0,0.0,0.0
1701425787938 ,0,-2.659,-2.673,-2.697,1.208,1.214,1.174,13.516,13.545,13.559,226.613,227.305,227.304,50.0,Charging,Idle,Idle,Idle,9.540000000000001,0.0,10.98,10.98,1.365,0,0.0,0.0,0.4379945673865444,0,0,0,6.057,0.0,0.0,0.0
1701425789008 ,0,-2.81,-2.83,-2.847,1.189,1.196,1.159,13.521,13.55,13.561,226.479,227.234,227.196,50.0,Charging,Idle,Idle,Idle,9.540000000000001,0.0,10.98,10.98,1.365,0,0.0,0.0,0.4379945673865444,0,0,0,7.7010000000000005,0.0,0.0,0.0
1701425790058 ,0,-2.605,-2.62,-2.64,1.197,1.191,1.159,12.39,12.393,12.427,226.398,227.304,227.276,50.0,Charging,Idle,Idle,Idle,9.540000000000001,0.0,10.98,10.98,1.365,0,0.0,0.0,0.4379945673865444,0,0,0,7.7010000000000005,0.0,0.0,0.0
1701425791116 ,0,-2.265,-2.279,-2.306,1.22,1.218,1.186,11.471,11.458,11.518,226.444,227.607,227.49,50.0,Charging,Idle,Idle,Idle,9.540000000000001,0.0,10.98,10.98,1.365,0,0.0,0.0,0.4379945673865444,0,0,0,7.7010000000000005,0.0,0.0,0.0
1701425792170 ,0,-2.266,-2.278,-2.307,1.25,1.25,1.223,11.471,11.458,11.52,226.44,227.824,227.615,50.0,Charging,Idle,Idle,Idle,8.879999999999999,0.0,10.98,10.98,1.374,0,0.0,0.0,0.43782170039751944,0,0,0,6.566999999999999,0.0,0.0,0.0
1701425793233 ,0,-2.267,-2.28,-2.308,1.247,1.247,1.227,11.473,11.46,11.523,226.394,227.776,227.597,50.0,Charging,Idle,Idle,Idle,8.879999999999999,0.0,10.98,10.98,1.374,0,0.0,0.0,0.43782170039751944,0,0,0,6.566999999999999,0.0,0.0,0.0
1701425794297 ,0,-2.079,-2.096,-2.125,1.237,1.253,1.227,10.268,10.274,10.322,226.401,227.797,227.569,50.0,Charging,Idle,Idle,Idle,8.879999999999999,0.0,10.98,10.98,1.374,0,0.0,0.0,0.43782170039751944,0,0,0,6.566999999999999,0.0,0.0,0.0
1701425795361 ,0,-2.085,-2.099,-2.129,1.257,1.268,1.235,10.193,10.197,10.245,226.565,227.906,227.701,49.99,Charging,Idle,Idle,Idle,8.879999999999999,0.0,10.98,10.98,1.374,0,0.0,0.0,0.43782170039751944,0,0,0,6.566999999999999,0.0,0.0,0.0
1701425796427 ,0,-1.917,-1.927,-1.956,1.269,1.277,1.259,10.193,10.194,10.246,226.649,228.021,227.803,49.99,Charging,Idle,Idle,Idle,11.01,0.0,10.98,10.98,1.381,0,0.0,0.0,0.437717387722469,0,0,0,5.555,0.0,0.0,0.0
1701425797487 ,0,-1.919,-1.931,-1.957,1.277,1.277,1.252,10.196,10.194,10.246,226.664,227.984,227.78,49.99,Charging,Idle,Idle,Idle,11.01,0.0,10.98,10.98,1.381,0,0.0,0.0,0.437717387722469,0,0,0,5.555,0.0,0.0,0.0
1701425798535 ,0,-2.097,-2.111,-2.136,1.272,1.276,1.251,10.957,10.98,11.028,226.699,228.018,227.831,49.99,Charging,Idle,Idle,Idle,11.01,0.0,10.98,10.98,1.381,0,0.0,0.0,0.437717387722469,0,0,0,5.555,0.0,0.0,0.0
1701425799590 ,0,-2.678,-2.696,-2.716,1.226,1.236,1.201,13.033,12.797,12.836,226.657,228.003,227.79,49.99,Charging,Idle,Idle,Idle,11.01,0.0,10.98,10.98,1.381,0,0.0,0.0,0.437717387722469,0,0,0,5.555,0.0,0.0,0.0
1701425800641 ,0,-2.771,-2.793,-2.815,1.191,1.196,1.162,13.505,13.557,13.55,225.921,227.563,227.292,49.98,Charging,Idle,Idle,Idle,11.01,0.0,10.98,10.98,1.388,0,0.0,0.0,0.4376732719051478,0,0,0,7.146000000000001,0.0,0.0,0.0
1701425801715 ,0,-2.808,-2.833,-2.85,1.191,1.188,1.154,13.517,13.555,13.557,225.883,227.561,227.272,49.98,Charging,Idle,Idle,Idle,11.01,0.0,10.98,10.98,1.388,0,0.0,0.0,0.4376732719051478,0,0,0,7.146000000000001,0.0,0.0,0.0
1701425802773 ,0,-2.808,-2.834,-2.851,1.191,1.191,1.152,13.526,13.555,13.562,225.905,227.545,227.282,49.98,Charging,Idle,Idle,Idle,11.01,0.0,10.98,10.98,1.388,0,0.0,0.0,0.4376732719051478,0,0,0,7.146000000000001,0.0,0.0,0.0
1701425803829 ,0,-2.807,-2.832,-2.85,1.189,1.19,1.153,13.532,13.554,13.565,225.889,227.474,227.311,49.98,Charging,Idle,Idle,Idle,11.01,0.0,10.98,10.98,1.388,0,0.0,0.0,0.4376732719051478,0,0,0,7.146000000000001,0.0,0.0,0.0
1701425804881 ,0,-2.808,-2.832,-2.851,1.189,1.19,1.153,13.537,13.553,13.568,225.884,227.479,227.313,49.98,Charging,Idle,Idle,Idle,11.01,0.0,10.98,10.98,1.396,0,0.0,0.0,0.43753532977245174,0,0,0,8.164,0.0,0.0,0.0
1701425805942 ,0,-2.806,-2.832,-2.85,1.191,1.19,1.153,13.54,13.552,13.568,225.877,227.477,227.34,49.98,Charging,Idle,Idle,Idle,11.01,0.0,10.98,10.98,1.396,0,0.0,0.0,0.43753532977245174,0,0,0,8.164,0.0,0.0,0.0
1701425807006 ,0,-2.806,-2.832,-2.849,1.191,1.191,1.153,13.542,13.553,13.566,225.948,227.441,227.343,49.98,Charging,Idle,Idle,Idle,11.01,0.0,10.98,10.98,1.396,0,0.0,0.0,0.43753532977245174,0,0,0,8.164,0.0,0.0,0.0
1701425808059 ,0,-2.808,-2.833,-2.851,1.19,1.189,1.153,13.545,13.553,13.569,225.9,227.478,227.289,49.98,Charging,Idle,Idle,Idle,11.01,0.0,10.98,10.98,1.396,0,0.0,0.0,0.43753532977245174,0,0,0,8.164,0.0,0.0,0.0
1701425809109 ,0,-2.809,-2.834,-2.851,1.19,1.188,1.154,13.549,13.552,13.571,225.922,227.548,227.259,49.98,Charging,Idle,Idle,Idle,11.01,0.0,10.98,10.98,1.406,0,0.0,0.0,0.43733719842812957,0,0,0,8.162,0.0,0.0,0.0
1701425810168 ,0,-2.808,-2.834,-2.851,1.191,1.19,1.153,13.549,13.552,13.572,226.006,227.554,227.307,49.98,Charging,Idle,Idle,Idle,11.01,0.0,10.98,10.98,1.406,0,0.0,0.0,0.43733719842812957,0,0,0,8.162,0.0,0.0,0.0
1701425811235 ,0,-2.811,-2.834,-2.85,1.19,1.187,1.154,13.551,13.551,13.572,226.006,227.517,227.274,49.98,Charging,Idle,Idle,Idle,11.01,0.0,10.98,10.98,1.406,0,0.0,0.0,0.43733719842812957,0,0,0,8.162,0.0,0.0,0.0
1701425812293 ,0,-2.809,-2.834,-2.849,1.193,1.189,1.154,13.551,13.551,13.571,226.052,227.506,227.281,49.98,Charging,Idle,Idle,Idle,11.01,0.0,10.98,10.98,1.406,0,0.0,0.0,0.43733719842812957,0,0,0,8.163,0.0,0.0,0.0
1701425813359 ,0,-2.81,-2.833,-2.849,1.194,1.19,1.154,13.551,13.553,13.57,226.222,227.416,227.264,49.98,Charging,Idle,Idle,Idle,11.01,0.0,10.98,10.98,1.415,0,0.0,0.0,0.43713804194415873,0,0,0,8.163,0.0,0.0,0.0
1701425814424 ,0,-2.811,-2.833,-2.85,1.192,1.19,1.154,13.551,13.554,13.571,226.204,227.376,227.259,49.98,Charging,Idle,Idle,Idle,11.01,0.0,10.98,10.98,1.415,0,0.0,0.0,0.43713804194415873,0,0,0,8.163,0.0,0.0,0.0
1701425815489 ,0,-2.812,-2.832,-2.849,1.191,1.191,1.154,13.55,13.557,13.572,226.298,227.264,227.238,49.98,Charging,Idle,Idle,Idle,11.01,0.0,10.98,10.98,1.415,0,0.0,0.0,0.43713804194415873,0,0,0,8.163,0.0,0.0,0.0
1701425816559 ,0,-2.813,-2.834,-2.85,1.191,1.188,1.158,13.55,13.559,13.573,226.366,227.302,227.287,49.98,Charging,Idle,Idle,Idle,11.01,0.0,10.98,10.98,1.415,0,0.0,0.0,0.43713804194415873,0,0,0,8.163,0.0,0.0,0.0
1701425817631 ,0,-2.811,-2.83,-2.849,1.19,1.19,1.156,13.547,13.556,13.574,226.318,227.292,227.262,49.98,Charging,Idle,Idle,Idle,11.01,0.0,10.98,10.98,1.425,0,0.0,0.0,0.4369392162587321,0,0,0,8.163,0.0,0.0,0.0
